그룹,Method,Path,인증 필요,요청 파라미터/바디,설명
Auth,POST,/api/v1/auth/register,X,"email, password(8자+), nickname?","회원가입, JWT accessToken 발급"
Auth,POST,/api/v1/auth/login,X,"email, password","로그인, JWT accessToken 발급 (5회/분 rate limit)"
Users,GET,/api/v1/users/me,O,-,내 프로필 조회
Users,PATCH,/api/v1/users/me,O,"nickname?, researchConsent?",내 프로필 수정
Products,GET,/api/v1/products,X,"limit?, offset? (query)",제품 목록 (페이지네이션)
Products,GET,/api/v1/products/search,X,"q, limit?, offset? (query)",브랜드+제품명 검색 (pg_trgm 인덱스)
Products,GET,/api/v1/products/:id,X,-,제품 단건 조회
Products,POST,/api/v1/products,O,"brandName?, name, category?, imageUrl?",제품 등록
Products,PATCH,/api/v1/products/:id,O,등록 필드 중 일부,제품 수정 (본인이 등록한 제품만)
Metrics,GET,/api/v1/metrics,X,-,활성 측정 항목 목록 (읽기전용 마스터 데이터)
Trials,POST,/api/v1/trials,O,"title, primaryMetricId, startDate, endDate, runInDays?, preferredCaptureTime?, timezone?, testProductId?, controlProductId?",임상 생성 (좌우 서버 랜덤배정, 최소 4주 검증)
Trials,GET,/api/v1/trials,O,"limit?, offset?",내 임상 목록
Trials,GET,/api/v1/trials/:id,O,-,임상 단건 조회
Trials,PATCH,/api/v1/trials/:id,O,"title?, status?",임상 수정/상태 전환 (DRAFT→RUNNING→COMPLETED/ABANDONED)
Trials,POST,/api/v1/trials/:id/lock,O,-,임상 설계 잠금 (1회만 가능)
Measurements,POST,/api/v1/trials/:trialId/measurements,O,"dayIndex, capturedAt, status?, qualityGrade?, metrics[] 등",측정 제출 (RUNNING 상태 임상만, 하루 1건 제약)
Measurements,GET,/api/v1/trials/:trialId/measurements,O,"limit?, offset?",측정 목록
Reports,GET,/api/v1/trials/:trialId/daily-reports,O,"limit?, offset?",일일 리포트 목록
Reports,GET,/api/v1/trials/:trialId/report,O,-,최종 분석 리포트 조회 (결과 없으면 404)
Reports,POST,/api/v1/trials/:trialId/report/generate,O,-,분석 요청 (paired-difference 통계를 동기 계산해 status=DONE까지 즉시 반환)
Reports,GET,/api/v1/reports/shared/:token,X,-,공유 링크로 리포트 조회 (status=DONE인 경우만)
System,GET,/api/v1/health,X,-,헬스체크 (DB 연결 ping 포함)
